,Device,1st ,2nd ,5th ,OA,T,Particul,Vis,WTR,PVW Comp,OT Comp,OOT Comp,1st ,2nd ,5th ,OA,T,Particul,Vis,WTR,PVW Comp,OT Comp,OOT Comp,1st ,2nd ,5th ,OA,T,Particul,Vis,WTR,PVW Comp,OT Comp,OOT Comp,1st ,2nd ,5th ,OA,T,Particul,Vis,WTR,PVW Comp,OT Comp,OOT Comp,PVW CC,OT CC,OOT CC,CC,A12ratio,B12ratio,C12ratio,D12ratio,A1BAL,B1BAL,C1BAL,D1BAL,A5ratio,B5ratio,C5ratio,D5ratio,12comp,BalComp,5comp,1st ,2nd ,5th ,OA,T,Particul,Vis,WTR,PVW Comp,OT Comp,OOT Comp,1st ,2nd ,5th ,OA,T,Particul,Vis,WTR,PVW Comp,OT Comp,OOT Comp,1st ,2nd ,5th ,OA,T,Particul,Vis,WTR,PVW Comp,OT Comp,OOT Comp,1st ,2nd ,5th ,OA,T,Particul,Vis,WTR,PVW Comp,OT Comp,OOT Comp,PVW CC,OT CC,OOT CC,CC,A12ratio,B12ratio,C12ratio,D12ratio,A1BAL,B1BAL,C1BAL,D1BAL,A5ratio,B5ratio,C5ratio,D5ratio,12comp,BalComp,5comp,1st ,2nd ,5th ,OA,T,Particul,Vis,WTR,PVW Comp,OT Comp,OOT Comp,1st ,2nd ,5th ,OA,T,Particul,Vis,WTR,PVW Comp,OT Comp,OOT Comp,1st ,2nd ,5th ,OA,T,Particul,Vis,WTR,PVW Comp,OT Comp,OOT Comp,1st ,2nd ,5th ,OA,T,Particul,Vis,WTR,PVW Comp,OT Comp,OOT Comp,PVW CC,OT CC,OOT CC,CC,A12ratio,B12ratio,C12ratio,D12ratio,A1BAL,B1BAL,C1BAL,D1BAL,A5ratio,B5ratio,C5ratio,D5ratio,12comp,BalComp,5comp,1st ,2nd ,5th ,OA,T,Particul,Vis,WTR,PVW Comp,OT Comp,OOT Comp,1st ,2nd ,5th ,OA,T,Particul,Vis,WTR,PVW Comp,OT Comp,OOT Comp,1st ,2nd ,5th ,OA,T,Particul,Vis,WTR,PVW Comp,OT Comp,OOT Comp,1st ,2nd ,5th ,OA,T,Particul,Vis,WTR,PVW Comp,OT Comp,OOT Comp,PVW CC,OT CC,OOT CC,CC,A12ratio,B12ratio,C12ratio,D12ratio,A1BAL,B1BAL,C1BAL,D1BAL,A5ratio,B5ratio,C5ratio,D5ratio,12comp,BalComp,5comp
0,A BF,0.19,0.01,0.002,0.202,95,5,3,1,6.3,5.985,6.04485,0.19,0.01,0.002,0.202,95,5,2,1,5.6,5.32,5.3732,0.17,0.02,0.002,0.192,95,5,2,1,5.6,5.32,5.1072,0.17,0.02,0.002,0.192,95,5,2,1,5.6,5.32,5.1072,15.9495,15.403395,11.04432,42.397215,2.68421052631579,2.68421052631579,4.82352941176471,4.82352941176471,-9.09090909090909,-9.09090909090909,29.0322580645162,29.0322580645162,-226.530612244898,-226.530612244898,-206.122448979592,-206.122448979592,0,0,0,0.18,0.02,0.002,0.202,97,5,3,1,6.3,6.111,6.17211,0.19,0.01,0.002,0.202,95,5,2,1,5.6,5.32,5.3732,0.17,0.02,0.002,0.192,95,5,2,1,5.6,5.32,5.1072,0.17,0.02,0.002,0.192,100,5,2,1,5.6,5.6,5.376,16.0377,15.688477,11.23248,42.958657,5.66666666666667,2.68421052631579,4.82352941176471,4.82352941176471,-4.76190476190463,-9.09090909090909,29.0322580645162,29.0322580645162,-226.530612244898,-226.530612244898,-206.122448979592,-206.122448979592,0,0,0,0.18,0.02,0.002,0.202,97,5,3,1,6.3,6.111,6.17211,0.19,0.01,0.002,0.202,100,5,2,1,5.6,5.6,5.656,0.17,0.02,0.002,0.192,95,5,2,1,5.6,5.32,5.1072,0.17,0.02,0.002,0.192,100,5,2,1,5.6,5.6,5.376,16.0377,15.884477,11.43044,43.352617,5.66666666666667,2.68421052631579,4.82352941176471,4.82352941176471,-4.76190476190463,-9.09090909090909,29.0322580645162,29.0322580645162,-226.530612244898,-226.530612244898,-206.122448979592,-206.122448979592,0,0,0,0.16,0.02,0.005,0.185,97,5,3,1,6.3,6.111,5.652675,0.19,0.01,0.002,0.202,100,5,2,1,5.6,5.6,5.656,0.17,0.02,0.002,0.192,95,5,2,1,5.6,5.32,5.1072,0.15,0.03,0.002,0.182,101,5,2,1,5.6,5.656,5.14696,16.0377,15.5600725,11.270112,42.8678845,4.25,2.68421052631579,4.82352941176471,6.2,39.0243902439025,-9.09090909090909,29.0322580645162,37.2549019607843,-204.347826086956,-226.530612244898,-206.122448979592,-185.714285714286,0,0,0
1,B BF,0.12,0.03,0.03,0.18,98,5,3,1,6.3,6.174,5.5566,0.12,0.03,0.04,0.19,110,4,3,1,5.6,6.16,4.6816,0.12,0.03,0.05,0.2,110,4,3,1,5.6,6.16,4.928,0.12,0.03,0.05,0.2,110,4,3,1,5.6,6.16,4.928,16.0818,16.82562,10.26032,43.16774,7.25,9.75,12.25,12.25,25.9259259259259,9.90990990990992,1.23456790123457,1.23456790123457,-423.809523809524,-900,-10900,-10900,0,0,0,0.13,0.03,0.03,0.19,98,5,3,1,6.3,6.174,5.8653,0.12,0.03,0.04,0.19,110,4,3,1,5.6,6.16,4.6816,0.13,0.03,0.05,0.21,110,4,3,1,5.6,6.16,5.1744,0.12,0.03,0.05,0.2,110,4,3,1,5.6,6.16,4.928,16.0818,17.04171,10.4328,43.55631,9,9.75,13.6153846153846,12.25,15.4929577464789,9.90990990990992,-12.6760563380282,1.23456790123457,-471.428571428571,-900,-11900,-10900,0,0,0,0.13,0.03,0.03,0.19,98,5,3,1,6.3,6.174,5.8653,0.12,0.03,0.04,0.19,110,4,3,1,5.6,6.16,4.6816,0.13,0.03,0.05,0.21,110,4,3,1,5.6,6.16,5.1744,0.12,0.03,0.05,0.2,110,4,3,1,5.6,6.16,4.928,16.0818,17.04171,10.4328,43.55631,9,9.75,13.6153846153846,12.25,15.4929577464789,9.90990990990992,-12.6760563380282,1.23456790123457,-471.428571428571,-900,-11900,-10900,0,0,0,0.12,0.03,0.03,0.18,98,5,3,1,6.3,6.174,5.5566,0.12,0.03,0.04,0.19,110,4,3,1,5.6,6.16,4.6816,0.13,0.03,0.05,0.21,110,4,3,1,5.6,6.16,5.1744,0.12,0.03,0.05,0.2,110,4,3,1,5.6,6.16,4.928,16.0818,16.82562,10.4328,43.34022,7.25,9.75,13.6153846153846,12.25,25.9259259259259,9.90990990990992,-12.6760563380282,1.23456790123457,-423.809523809524,-900,-11900,-10900,0,0,0
2,C BF,0.12,0.03,0.03,0.18,90,5,3,1,6.3,5.67,5.103,0.12,0.03,0.03,0.18,110,5,3,1,6.3,6.93,6.237,0.14,0.03,0.03,0.2,115,5,3,1,6.3,7.245,7.245,0.14,0.03,0.03,0.2,115,5,3,1,6.3,7.245,7.245,17.199,18.5661,14.5929,50.358,7.25,7.25,10.5,10.5,25.9259259259259,25.9259259259259,1.63934426229508,1.63934426229508,-423.809523809524,-423.809523809524,-519.047619047619,-519.047619047619,0,0,0,0.12,0.03,0.04,0.19,90,5,3,1,6.3,5.67,5.3865,0.12,0.03,0.03,0.18,110,5,3,1,6.3,6.93,6.237,0.14,0.04,0.03,0.21,115,5,3,1,6.3,7.245,7.60725,0.14,0.03,0.03,0.2,115,5,3,1,6.3,7.245,7.245,17.199,18.76455,14.846475,50.810025,9.75,7.25,16.8571428571429,10.5,13.5802469135803,25.9259259259259,-14.7540983606558,1.63934426229508,-900,-423.809523809524,-566.666666666667,-519.047619047619,0,0,0,0.12,0.03,0.04,0.19,90,5,3,1,6.3,5.67,5.3865,0.12,0.03,0.03,0.18,101,5,3,1,6.3,6.363,5.7267,0.14,0.04,0.03,0.21,115,5,3,2,7,8.05,8.4525,0.14,0.03,0.03,0.2,115,5,3,1,6.3,7.245,7.245,17.689,18.93115,15.08094,51.70109,9.75,7.25,16.8571428571429,10.5,13.5802469135803,25.9259259259259,-14.7540983606558,1.63934426229508,-900,-423.809523809524,-566.666666666667,-519.047619047619,0,0,0,0.12,0.03,0.03,0.18,90,5,3,1,6.3,5.67,5.103,0.12,0.03,0.03,0.18,110,5,3,1,6.3,6.93,6.237,0.14,0.04,0.03,0.21,115,5,3,1,6.3,7.245,7.60725,0.14,0.03,0.03,0.2,115,5,3,1,6.3,7.245,7.245,17.199,18.5661,14.846475,50.611575,7.25,7.25,16.8571428571429,10.5,25.9259259259259,25.9259259259259,-14.7540983606558,1.63934426229508,-423.809523809524,-423.809523809524,-566.666666666667,-519.047619047619,0,0,0
3,D BF,0.22,0.09,0.002,0.312,120,4,3,1,5.6,6.72,8.38656,0.19,0.09,0.01,0.29,115,4,3,1,5.6,6.44,7.4704,0.17,0.1,0.01,0.28,118,4,3,1,5.6,6.608,7.40096,0.15,0.1,0.01,0.26,117,4,2,1,4.9,5.733,5.96232,15.974,19.017292,14.716576,49.707868,65.8636363636364,65.8421052631579,75.8823529411765,72.6666666666667,584.21052631579,-809.090909090908,-254.838709677419,-115.686274509804,-451.020408163265,-485.365853658537,-460.975609756098,-412.19512195122,280.254761234637,584.21052631579,0,0.22,0.09,0.002,0.312,119,4,3,1,5.6,6.664,8.316672,0.25,0.1,0.01,0.36,115,4,3,1,5.6,6.44,9.2736,0.18,0.009,0.02,0.209,115,5,3,1,6.3,7.245,7.571025,0.15,0.08,0.01,0.24,117,4,2,1,4.9,5.733,5.50368,16.4248,19.4142704,15.8188135,51.6578839,65.8636363636364,83.6,2.9,47.4666666666667,584.21052631579,324.489795918367,-38.095238095238,-76.470588235294,-451.020408163265,-656.09756097561,-380.645161290322,-363.414634146341,149.463636363636,908.700322234157,0,0.21,0.08,0.005,0.295,119,4,3,1,5.6,6.664,7.86352,0.23,0.09,0.04,0.36,110,5,3,1,6.3,6.93,12.474,0.17,0.008,0.03,0.208,115,5,3,1,6.3,7.245,7.5348,0.14,0.06,0.01,0.21,121,4,2,1,4.9,5.929,4.98036,16.9148,19.577264,17.653412,54.145476,54.8571428571429,81.7826086956522,2.68235294117647,25.2857142857143,1044.44444444445,548.275862068966,-22.5806451612903,-14.7540983606558,-443.478260869565,-2445.45454545454,-557.142857142857,-290.243902439024,81.7826086956522,1592.72030651341,0,0.21,0.08,0.009,0.299,118,5,3,1,6.3,7.434,11.11383,0.21,0.07,0.04,0.32,116,5,3,2,7,8.12,12.992,0.17,0.02,0.03,0.22,117,5,3,1,6.3,7.371,8.1081,0.14,0.06,0.02,0.22,121,5,3,1,6.3,7.623,8.3853,18.9238,23.959481,20.78678,63.670061,56.3809523809524,56.3333333333333,8.11764705882353,29.5714285714286,1088.88888888889,1322.22222222222,-61.2903225806452,-31.1475409836066,-495.238095238095,-2081.81818181818,-614.285714285714,-416.129032258065,0,2411.11111111112,0
4,A Con,0.12,0.03,0.03,0.18,110,5,2,1,5.6,6.16,5.544,0.12,0.03,0.03,0.18,115,4,2,1,4.9,5.635,4.0572,0.13,0.03,0.03,0.19,119,4,2,1,4.9,5.831,4.43156,0.13,0.03,0.03,0.19,119,4,2,1,4.9,5.831,4.43156,14.602,15.9887,9.128224,39.718924,7.25,7.25,9,9,25.9259259259259,25.9259259259259,15.4929577464789,15.4929577464789,-423.809523809524,-423.809523809524,-471.428571428571,-471.428571428571,0,0,0,0.12,0.03,0.03,0.18,109,5,2,1,5.6,6.104,5.4936,0.12,0.03,0.03,0.18,115,4,2,1,4.9,5.635,4.0572,0.13,0.03,0.04,0.2,119,4,2,1,4.9,5.831,4.6648,0.13,0.03,0.03,0.19,119,4,2,1,4.9,5.831,4.43156,14.5628,15.95342,9.291492,39.807712,7.25,7.25,11.3076923076923,9,25.9259259259259,25.9259259259259,1.40845070422535,15.4929577464789,-423.809523809524,-423.809523809524,-990.909090909091,-471.428571428571,0,0,0,0.12,0.04,0.03,0.19,109,5,2,1,5.6,6.104,5.7988,0.12,0.03,0.03,0.18,115,4,2,1,4.9,5.635,4.0572,0.13,0.03,0.04,0.2,119,4,2,1,4.9,5.831,4.6648,0.13,0.03,0.03,0.19,119,4,2,1,4.9,5.831,4.43156,14.5628,16.16706,9.291492,40.021352,13,7.25,11.3076923076923,9,13.5802469135803,25.9259259259259,1.40845070422535,15.4929577464789,-471.428571428571,-423.809523809524,-990.909090909091,-471.428571428571,0,0,0,0.12,0.04,0.03,0.19,109,5,2,1,5.6,6.104,5.7988,0.12,0.03,0.03,0.18,113,5,2,1,5.6,6.328,5.6952,0.13,0.03,0.04,0.2,119,4,2,1,4.9,5.831,4.6648,0.13,0.04,0.03,0.2,119,4,2,1,4.9,5.831,4.6648,15.0528,16.65216,10.60136,42.30632,13,7.25,11.3076923076923,15.0769230769231,13.5802469135803,25.9259259259259,1.40845070422535,1.40845070422535,-471.428571428571,-423.809523809524,-990.909090909091,-519.047619047619,0,0,0
5,B Con,0.12,0.02,0.03,0.17,110,3,3,1,4.9,5.39,2.7489,0.12,0.04,0.03,0.19,115,5,3,2,7,8.05,7.6475,0.12,0.03,0.03,0.18,115,5,3,2,7,8.05,7.245,0.12,0.03,0.03,0.18,115,5,3,2,7,8.05,7.245,18.473,18.82923,15.58025,52.88248,3.16666666666667,13,7.25,7.25,38.2716049382716,13.5802469135803,25.9259259259259,25.9259259259259,-376.190476190476,-471.428571428571,-423.809523809524,-423.809523809524,0,0,0,0.12,0.02,0.03,0.17,110,3,3,1,4.9,5.39,2.7489,0.12,0.04,0.03,0.19,115,5,3,2,7,8.05,7.6475,0.13,0.03,0.03,0.19,114,5,3,2,7,7.98,7.581,0.12,0.03,0.03,0.18,120,5,3,2,7,8.4,7.56,18.473,19.02523,16.03595,53.53418,3.16666666666667,13,9,7.25,38.2716049382716,13.5802469135803,15.4929577464789,25.9259259259259,-376.190476190476,-471.428571428571,-471.428571428571,-423.809523809524,0,0,0,0.13,0.02,0.03,0.18,110,3,3,1,4.9,5.39,2.9106,0.12,0.04,0.03,0.19,121,5,3,2,7,8.47,8.0465,0.13,0.03,0.03,0.19,114,5,3,2,7,7.98,7.581,0.12,0.03,0.03,0.18,120,5,3,2,7,8.4,7.56,18.473,19.43242,16.31525,54.22067,4.46153846153846,13,9,7.25,29.5774647887324,13.5802469135803,15.4929577464789,25.9259259259259,-423.809523809524,-471.428571428571,-471.428571428571,-423.809523809524,0,0,0,0.13,0.02,0.03,0.18,110,4,3,1,5.6,6.16,4.4352,0.12,0.04,0.03,0.19,112,5,3,2,7,7.84,7.448,0.13,0.03,0.03,0.19,114,5,3,2,7,7.98,7.581,0.12,0.03,0.03,0.18,120,5,3,2,7,8.4,7.56,19.012,20.05864,15.8963,54.96694,4.46153846153846,13,9,7.25,29.5774647887324,13.5802469135803,15.4929577464789,25.9259259259259,-423.809523809524,-471.428571428571,-471.428571428571,-423.809523809524,0,0,0
6,C Con,0.12,0.03,0.01,0.16,110,5,3,2,7,7.7,6.16,0.12,0.03,0.01,0.16,115,5,3,1,6.3,7.245,5.796,0.14,0.03,0.01,0.18,120,5,3,1,6.3,7.56,6.804,0.14,0.04,0.01,0.19,120,5,3,1,6.3,7.56,7.182,18.62,19.9675,13.9314,52.5189,2.25,2.25,6.21428571428572,11.1428571428571,50.6172839506173,50.6172839506173,34.4262295081967,18.0327868852459,-168.292682926829,-168.292682926829,-217.073170731707,-241.463414634146,0,0,0,0.13,0.03,0.01,0.17,110,4,3,1,5.6,6.16,4.1888,0.12,0.03,0.01,0.16,115,5,3,1,6.3,7.245,5.796,0.14,0.03,0.01,0.18,120,5,3,1,6.3,7.56,6.804,0.14,0.03,0.01,0.18,120,5,3,1,6.3,7.56,6.804,17.542,18.58766,13.6668,49.79646,4.38461538461539,2.25,6.21428571428572,6.21428571428572,43.6619718309859,50.6172839506173,34.4262295081967,34.4262295081967,-192.682926829268,-168.292682926829,-217.073170731707,-217.073170731707,0,0,0,0.13,0.03,0.01,0.17,110,4,3,1,5.6,6.16,4.1888,0.12,0.03,0.01,0.16,119,5,3,1,6.3,7.497,5.9976,0.14,0.03,0.01,0.18,120,5,3,1,6.3,7.56,6.804,0.14,0.03,0.01,0.18,120,5,3,1,6.3,7.56,6.804,17.542,18.76406,13.80792,50.11398,4.38461538461539,2.25,6.21428571428572,6.21428571428572,43.6619718309859,50.6172839506173,34.4262295081967,34.4262295081967,-192.682926829268,-168.292682926829,-217.073170731707,-217.073170731707,0,0,0,0.13,0.03,0.01,0.17,110,4,3,1,5.6,6.16,4.1888,0.12,0.03,0.01,0.16,115,4,3,1,5.6,6.44,4.1216,0.14,0.03,0.01,0.18,120,5,3,1,6.3,7.56,6.804,0.14,0.03,0.01,0.18,121,5,3,1,6.3,7.623,6.8607,17.052,18.06826,12.53441,47.65467,4.38461538461539,2.25,6.21428571428572,6.21428571428572,43.6619718309859,50.6172839506173,34.4262295081967,34.4262295081967,-192.682926829268,-168.292682926829,-217.073170731707,-217.073170731707,0,0,0
7,D Con,0.14,0.03,0.04,0.21,125,5,4,1,7,8.75,9.1875,0.12,0.03,0.03,0.18,125,4,3,1,5.6,7,5.04,0.13,0.04,0.03,0.2,125,4,3,1,5.6,7,5.6,0.14,0.04,0.03,0.21,125,4,3,1,5.6,7,5.88,17.885,21.13125,11.648,50.66425,12.6428571428571,7.25,15.0769230769231,16.8571428571429,-14.7540983606558,25.9259259259259,1.40845070422535,-14.7540983606558,-1081.81818181818,-423.809523809524,-519.047619047619,-566.666666666667,0,0,0,0.12,0.03,0.03,0.18,125,5,3,1,6.3,7.875,7.0875,0.12,0.03,0.03,0.18,125,4,3,1,5.6,7,5.04,0.13,0.04,0.03,0.2,125,4,3,1,5.6,7,5.6,0.13,0.04,0.03,0.2,122,4,3,1,5.6,6.832,5.4656,17.2725,19.54365,11.35792,48.17407,7.25,7.25,15.0769230769231,15.0769230769231,25.9259259259259,25.9259259259259,1.40845070422535,1.40845070422535,-423.809523809524,-423.809523809524,-519.047619047619,-519.047619047619,0,0,0,0.12,0.03,0.03,0.18,126,5,3,2,7,8.82,7.938,0.12,0.03,0.03,0.18,120,4,3,2,6.3,7.56,5.4432,0.13,0.04,0.03,0.2,125,4,3,1,5.6,7,5.6,0.13,0.04,0.03,0.2,122,4,3,1,5.6,6.832,5.4656,18.424,20.531,11.64016,50.59516,7.25,7.25,15.0769230769231,15.0769230769231,25.9259259259259,25.9259259259259,1.40845070422535,1.40845070422535,-423.809523809524,-423.809523809524,-519.047619047619,-519.047619047619,0,0,0,0.12,0.03,0.03,0.18,126,5,3,2,7,8.82,7.938,0.12,0.03,0.03,0.18,125,4,3,2,6.3,7.875,5.67,0.13,0.04,0.03,0.2,125,4,3,2,6.3,7.875,6.3,0.13,0.04,0.03,0.2,122,4,3,1,5.6,6.832,5.4656,18.914,21.364,12.28892,52.56692,7.25,7.25,15.0769230769231,15.0769230769231,25.9259259259259,25.9259259259259,1.40845070422535,1.40845070422535,-423.809523809524,-423.809523809524,-519.047619047619,-519.047619047619,0,0,0
8,A ClgW,0.12,0.03,0.03,0.18,120,5,3,1,6.3,7.56,6.804,0.14,0.03,0.03,0.2,120,4,2,1,4.9,5.88,4.704,0.12,0.03,0.03,0.18,118,4,2,1,4.9,5.782,4.16304,0.12,0.03,0.03,0.18,118,4,2,1,4.9,5.782,4.16304,15.582,16.9736,9.219056,41.774656,7.25,10.5,7.25,7.25,25.9259259259259,1.63934426229508,25.9259259259259,25.9259259259259,-423.809523809524,-519.047619047619,-423.809523809524,-423.809523809524,0,0,0,0.12,0.03,0.03,0.18,120,5,3,1,6.3,7.56,6.804,0.14,0.03,0.03,0.2,120,4,2,1,4.9,5.88,4.704,0.12,0.03,0.03,0.18,118,5,2,1,5.6,6.608,5.9472,0.12,0.03,0.03,0.18,118,5,2,1,5.6,6.608,5.9472,16.562,18.13,11.71688,46.40888,7.25,10.5,7.25,7.25,25.9259259259259,1.63934426229508,25.9259259259259,25.9259259259259,-423.809523809524,-519.047619047619,-423.809523809524,-423.809523809524,0,0,0,0.12,0.03,0.03,0.18,120,5,2,1,5.6,6.72,6.048,0.14,0.03,0.03,0.2,121,4,2,1,4.9,5.929,4.7432,0.12,0.03,0.03,0.18,118,4,2,1,4.9,5.782,4.16304,0.12,0.03,0.03,0.18,118,5,2,1,5.6,6.608,5.9472,15.484,17.0569,10.495408,43.036308,7.25,10.5,7.25,7.25,25.9259259259259,1.63934426229508,25.9259259259259,25.9259259259259,-423.809523809524,-519.047619047619,-423.809523809524,-423.809523809524,0,0,0,0.12,0.03,0.03,0.18,120,5,2,1,5.6,6.72,6.048,0.14,0.03,0.03,0.2,120,4,2,1,4.9,5.88,4.704,0.12,0.03,0.03,0.18,118,4,2,1,4.9,5.782,4.16304,0.12,0.03,0.03,0.18,121,5,2,1,5.6,6.776,6.0984,15.484,17.1402,10.573808,43.198008,7.25,10.5,7.25,7.25,25.9259259259259,1.63934426229508,25.9259259259259,25.9259259259259,-423.809523809524,-519.047619047619,-423.809523809524,-423.809523809524,0,0,0
9,B ClgW,0.09,0.03,0.01,0.13,120,5,3,1,6.3,7.56,4.914,0.1,0.03,0.01,0.14,120,5,3,1,6.3,7.56,5.292,0.1,0.04,0.01,0.15,120,5,3,1,6.3,7.56,5.67,0.1,0.04,0.01,0.15,120,5,3,1,6.3,7.56,5.67,18.522,19.3158,11.7124,49.5502,-7,-3.29999999999999,-0.399999999999989,-0.399999999999989,63.963963963964,60.3960396039604,50.4950495049505,50.4950495049505,-95.1219512195122,-119.512195121951,-143.90243902439,-143.90243902439,0,124.360003567924,0,0.09,0.03,0.01,0.13,121,5,4,2,7.7,9.317,6.05605,0.1,0.03,0.01,0.14,120,5,3,1,6.3,7.56,5.292,0.11,0.04,0.01,0.16,120,5,3,2,7,8.4,6.72,0.1,0.04,0.01,0.15,120,4,3,1,5.6,6.72,4.032,19.7519,20.115235,11.3008,51.167935,-7,-3.29999999999999,3.27272727272728,-0.399999999999989,63.963963963964,60.3960396039604,45.0549450549451,50.4950495049505,-95.1219512195122,-119.512195121951,-168.292682926829,-143.90243902439,0,124.360003567924,0,0.11,0.03,0.01,0.15,101,5,4,1,7,7.07,5.3025,0.1,0.03,0.01,0.14,122,5,3,1,6.3,7.686,5.3802,0.11,0.04,0.01,0.16,120,5,3,1,6.3,7.56,6.048,0.1,0.04,0.01,0.15,121,4,3,1,5.6,6.776,4.0656,17.689,19.12715,10.91566,47.73181,-0.272727272727273,-3.29999999999999,3.27272727272728,-0.399999999999989,56.0439560439561,60.3960396039604,45.0549450549451,50.4950495049505,-143.90243902439,-119.512195121951,-168.292682926829,-143.90243902439,0,60.3960396039604,0,0.11,0.03,0.01,0.15,121,5,4,1,7,8.47,6.3525,0.1,0.03,0.01,0.14,101,5,2,1,5.6,5.656,3.9592,0.11,0.04,0.01,0.16,120,5,3,1,6.3,7.56,6.048,0.1,0.04,0.01,0.15,121,4,3,1,5.6,6.776,4.0656,18.179,18.44115,9.92096,46.54111,-0.272727272727273,-3.29999999999999,3.27272727272728,-0.399999999999989,56.0439560439561,60.3960396039604,45.0549450549451,50.4950495049505,-143.90243902439,-119.512195121951,-168.292682926829,-143.90243902439,0,60.3960396039604,0
